country,year,population,eci_trade,eci_technology,eci_research,eci_software,gdp_start,emissions,nat_res,pop
ALB,2020,2852805.333,0.397067484,0.432096167,0.5331708,0.192488594,9.504217989,5.466282146,6.039983596,14.8638134
ARE,2020,9213038.333,0.524431802,0.693670812,0.465273239,0.301121621,11.16100584,5.933215631,9.836228378,16.03613025
ARG,2020,44936659,0.52366096,0.699983549,0.73656023,0.599257188,9.976018274,5.953833099,6.963268959,17.62076448
ARM,2020,2820922.333,0.412879919,0.505515875,0.440659874,0.208235338,9.52043639,5.55326841,6.826648223,14.85257446
AUS,2020,25315777.33,0.426612119,0.909458707,0.945416175,0.952006815,10.80065397,6.196125502,9.142135805,17.04693837
AUT,2020,8879101.667,0.860400489,0.99282758,0.805391392,0.854606896,10.90192168,5.039432328,8.771687884,15.99921095
AZE,2020,10019058.33,0.352762995,0.453235364,0.170586272,0.212155742,9.555781876,5.963188151,7.453342126,16.11999967
BEL,2020,11484879.33,0.814916984,0.891435438,0.88201087,0.829256111,10.8338235,5.20108326,9.275131697,16.25654189
BGD,2020,165540377,0.205727775,0.305713111,0.467763659,0.302726681,8.593109243,5.467702441,2.362133026,18.92472569
BGR,2020,6978271,0.607864003,0.766007326,0.437280883,0.505125887,10.02743318,5.766604359,7.792750508,15.75831174
BIH,2020,3359749,0.62313932,0.531677349,0.430884152,0.190499844,9.586642444,6.301376983,6.885794225,15.02737683
BLR,2020,9412831.667,0.679847184,0.619876872,0.235783028,0.582001887,9.860968616,6.212623667,7.516526102,16.05758439
BRA,2020,211715258,0.604649577,0.915897269,0.783032228,0.569319634,9.579936085,5.849379726,6.717781198,19.17075281
CAN,2020,37557826.67,0.713896862,0.8946277,0.951390731,0.96859624,10.78109666,5.981673451,8.755678567,17.44139235
CHE,2020,8575925.333,0.968168032,0.957254456,0.890166653,0.956865284,11.14418497,4.344746726,9.446915057,15.96446946
CHL,2020,19013750,0.440788368,0.886883863,0.766891199,0.382876621,10.09757849,5.466528889,8.164657948,16.76067296
CHN,2020,1407201667,0.704382679,0.804094022,0.273748133,0.924531368,9.667941761,6.350795209,5.778361956,21.06486894
CIV,2020,26151109.67,0.234158095,0.271269412,0.521063926,0.141814525,8.528218776,5.263443789,6.056747782,17.07940218
CMR,2020,25783391.67,0.216345213,0.146410443,0.539564863,0.217546685,8.220987912,6.871449343,5.115836997,17.06524111
COL,2020,50131676.33,0.525688977,0.792246801,0.672488094,0.510678986,9.556311533,5.568539159,6.481157599,17.73016363
CRI,2020,5082790.333,0.533188969,0.536930562,0.589426361,0.350666483,9.921650303,4.995082086,7.113027055,15.44137095
CZE,2020,10666552,0.87815894,0.910828037,0.528766895,0.884626576,10.59305293,5.612049918,8.234612578,16.18262342
DEU,2020,83053205,0.941494755,0.987376196,0.808515878,1,10.87864949,5.135626773,8.162027423,18.23499198
DNK,2020,5813154,0.727812864,0.893176479,0.866822655,0.843583049,10.93469975,4.903415902,8.766266778,15.57563384
DOM,2020,10882359,0.444960787,0.420584799,0.538999774,0.241113335,9.76850003,5.31561254,6.271404987,16.2026536
DZA,2020,42694680.33,0.212128659,0.52593903,0.268427549,0.214057855,9.34130806,6.331479081,6.537744075,17.56958489
ECU,2020,17316002.33,0.265880228,0.459676456,0.511524546,0.255723387,9.316368971,5.925377659,7.12543532,16.66714162
EGY,2020,105608190,0.451946941,0.630996264,0.47774974,0.43192761,9.368308879,5.535813547,5.345761058,18.47524648
ESP,2020,47099415.33,0.673554074,0.921858816,0.834253119,0.933262127,10.57226145,5.101172204,7.891862395,17.66777115
FIN,2020,5522224.667,0.847307304,0.959083311,0.825195388,0.850536008,10.77897835,5.283218059,8.753120154,15.52429136
FRA,2020,67372485.33,0.81817698,0.892114877,0.800767942,0.982998409,10.7033471,4.902497153,7.769610725,18.02574726
GBR,2020,66792635,0.841034753,0.895127251,0.990950714,0.991404997,10.71602716,4.964096607,7.68799905,18.01710338
GEO,2020,3723142,0.493228312,0.504007157,0.746390432,0.201681556,9.575191647,5.791412841,6.524327934,15.13007849
GHA,2020,31524444,0.167459656,0.293285853,0.661556342,0.235805954,8.565012579,5.394275845,6.365286734,17.2662738
GRC,2020,10717687.67,0.553709249,0.49539917,0.661820897,0.741795713,10.26198394,5.528908323,7.76815493,16.18740599
GTM,2020,16603103,0.398651701,0.358859353,0.669934136,0.312986301,9.049045166,5.477760942,6.182785333,16.62510016
HRV,2020,4066925.333,0.671046543,0.729238403,0.638701274,0.501335832,10.24828464,5.254419729,7.61445266,15.21839783
HUN,2020,9765618,0.832447904,0.845813657,0.700420229,0.720042165,10.36296787,5.301009952,7.832936979,16.09437841
IDN,2020,269502563.7,0.454708782,0.613742874,0.486390611,0.717369219,9.357923857,5.761431428,6.082594978,19.41208846
IND,2020,1382834161,0.610535528,0.85702616,0.313375032,0.799651424,8.765371445,5.935077663,4.725338195,21.04740097
IRL,2020,4929012.667,0.806854065,0.843767056,0.900618057,0.815499679,11.37948007,4.963806155,8.438755455,15.41064926
IRN,2020,86490652.33,0.46639131,0.705231579,0.473774061,0.330832302,9.575166355,6.542483299,6.226260743,18.2755469
ISR,2020,9050633.333,0.764212575,0.813158915,0.876918415,0.793183004,10.60577695,5.45311027,7.742436635,16.01834529
ITA,2020,59863230.67,0.800183627,0.969141975,0.805491099,0.949638446,10.62844421,5.035637433,7.9285282,17.90757303
JAM,2020,2815348,0.408927432,0.117452064,0.627286394,0.163645952,9.197303123,5.798409349,5.71245827,14.85059644
JOR,2020,10695756.33,0.475952981,0.410722731,0.480954015,0.213906375,9.153777213,5.83815937,5.608535388,16.18535762
JPN,2020,126568333.3,1,0.834124314,0.577702363,0.940962332,10.62508174,5.396907531,6.708262174,18.6562929
KAZ,2020,18515263.67,0.428244766,0.65352907,0.350396654,0.332287023,10.15628902,6.42428744,7.998561782,16.73410601
KEN,2020,50963511.33,0.368891374,0.401351845,0.676764821,0.31883217,8.416517062,5.804879724,4.610815122,17.74662047
KHM,2020,16209948,0.258694078,0.046070737,0.606844793,0.208865646,8.370864126,6.362475906,6.093268723,16.60113569
KOR,2020,51728706.33,0.91065405,0.791313213,0.474597535,0.724142998,10.65428426,5.753557475,7.650598831,17.76152343
KWT,2020,4372909.667,0.489003613,0.440584013,0.463025171,0.17554826,10.75207339,6.503247483,9.381826159,15.29093917
LBN,2020,5798556.333,0.551610898,0.491447519,0.623796844,0.249432186,9.699204309,5.843932007,6.180219115,15.57311954
LBY,2020,6566941,0.142915381,0.46952781,0.307456752,0.035047477,9.96631546,6.575988521,8.20475606,15.69755868
LKA,2020,21797333.33,0.350098032,0.55093561,0.468601199,0.559845403,9.506276222,4.772962877,5.151945305,16.8972982
LTU,2020,2796855,0.705797612,0.618289776,0.492454488,0.470080833,10.50803661,5.261993407,8.586730431,14.84400613
MAR,2020,36306897,0.352159206,0.659331743,0.343410322,0.195595671,8.980356872,5.729993378,5.642052648,17.40751828
MDA,2020,2668852.333,0.448297579,0.62094402,0.3354142,0.231209482,9.413785891,6.004618652,6.431727954,14.7971591
MEX,2020,125032491.3,0.763701469,0.658990353,0.627809633,0.53902154,9.903203793,5.536459028,6.723262401,18.64408419
MKD,2020,2075147.333,0.489735529,0.411865465,0.441195682,0.209586796,9.69478566,5.714881581,6.929697044,14.54554271
MNG,2020,3230252,0.234548994,0.231632706,0.577474694,0.127056255,9.397569089,7.248294092,7.781722392,14.98807071
MYS,2020,32801094.67,0.716984554,0.794021342,0.380682026,0.355315306,10.19568932,5.836055994,7.954344748,17.30597245
NGA,2020,203339840,0.070466473,0.3706719,0.573873398,0.30106587,8.51927321,5.765949322,5.585245498,19.13038923
NLD,2020,17339332.67,0.761060957,0.8913951,0.93515917,0.95609699,10.92785483,5.162078005,9.39709922,16.66848804
NOR,2020,5346429,0.653522086,0.946719236,0.860101785,0.851237362,11.07419302,4.923935337,9.704546201,15.49193942
NZL,2020,4990000,0.591677836,0.879884784,0.871542735,0.708468374,10.6630588,5.948466903,8.80830587,15.42294647
OMN,2020,4582441.333,0.419993885,0.358166748,0.42976884,0.157812759,10.42549471,6.453656386,8.881528269,15.33774246
PAK,2020,223407166.7,0.309590067,0.405395555,0.342513606,0.359914378,8.535382302,5.932103319,3.768123747,19.22450652
PAN,2020,4230727.667,0.522283031,0.748252407,0.64695378,0.185478033,10.32716195,4.960273201,6.670049518,15.25788456
PER,2020,32777853.67,0.324942626,0.731020096,0.638022845,0.387301768,9.40970335,5.479026839,7.164827417,17.30526365
PHL,2020,110380205.7,0.608018777,0.649734826,0.544003374,0.372466257,9.022839568,5.525419289,5.116971595,18.51944138
POL,2020,37946431.67,0.744618233,0.883727004,0.557827933,0.935387954,10.38843964,5.665302468,7.762628931,17.45168603
PRT,2020,10289055.33,0.59636347,0.843541076,0.676567732,0.759005912,10.42424085,5.1749923,7.814154689,16.1465913
QAT,2020,2778117.333,0.450277664,0.432285709,0.499636468,0.156164824,11.41215839,6.170090086,10.00091754,14.83728404
ROU,2020,19370289.33,0.73024285,0.775203793,0.468845141,0.76485843,10.28413761,5.176460367,7.010936466,16.77925097
RUS,2020,144319086.3,0.606142847,0.906672316,0.475964909,0.944150314,10.19736963,6.41842872,7.769801826,18.78753728
SAU,2020,35614200.67,0.685683226,0.848361543,0.361069797,0.326334212,10.74727616,6.070240366,8.535394533,17.38825501
SDN,2020,43223879.33,0.152562109,0.402274823,0.388736332,0.161107282,8.323377075,6.400739041,4.550004753,17.58190366
SEN,2020,16003936.67,0.324909977,0.327844861,0.591665553,0.270170687,8.129939667,6.307034382,5.327378292,16.58834529
SGP,2020,5676017.333,0.889751728,0.773506851,0.482834092,0.825664745,11.48468192,4.761986363,9.608109728,15.55176037
SRB,2020,6942321.667,0.65311333,0.62213244,0.489140072,0.35011974,9.798538961,6.210504787,7.155290391,15.75314681
SVK,2020,5453248.333,0.811477195,0.776687947,0.48477829,0.571643923,10.35595878,5.400159612,8.178440433,15.51172201
SVN,2020,2088232.667,0.842500585,0.86515895,0.546671813,0.546893176,10.54719928,5.320919824,8.538986359,14.55182865
SWE,2020,10269181,0.875456472,0.999975838,0.905625031,0.951538414,10.86239798,4.46689371,8.651277484,16.14465783
THA,2020,71303743,0.694683418,0.817353781,0.458617296,0.392176248,9.770560309,5.838323482,7.042712795,18.08245938
TUN,2020,12048026,0.504774772,0.42101666,0.340888539,0.385997555,9.281128136,5.783893219,5.885927783,16.30441139
TUR,2020,82457108,0.62111598,0.914447155,0.640659684,0.441940217,10.26180382,5.356069769,6.791358223,18.22778881
UGA,2020,42956362,0.285314846,0.350267829,0.704138725,0.22997878,7.707873523,5.994474905,4.629057516,17.57569532
UKR,2020,44380256.67,0.615279435,0.816213379,0.332824236,0.589132221,9.43480763,6.055409612,6.855731677,17.60830526
URY,2020,3428179,0.495981023,0.598801887,0.60617239,0.282924906,10.0434574,6.131547083,7.637457721,15.04753977
USA,2020,328893221.3,0.858778068,0.810433355,1,0.99070199,11.02396079,5.678410229,7.357357158,19.6112437
UZB,2020,33589500,0.35965143,0.418186839,0.352363882,0.189678743,8.896983693,6.638776151,5.670888241,17.32972408
VNM,2020,95779910.33,0.458395039,0.683856195,0.353546617,0.383758499,9.221565083,6.12125544,6.430546612,18.37756352
ZAF,2020,58076205.67,0.517154725,0.878530397,0.788874508,0.359751666,9.515678825,6.520240173,7.214560563,17.8772666
ZWE,2020,15358819.33,0.288579396,0.523657233,0.608443951,0.163645952,7.695202702,6.723332588,5.603168515,16.54720042